Task,Start,Finish,Complete,Resource
2020-odc-plan,2019-09-01,2019-09-10,0,A
wms-explore,2019-08-01,2019-08-30,0,A
odc-iwds,2019-07-01,2019-07-30,0,A
lc-aws-demo,2019-06-01,2019-06-30,0,A
lcmap-cloud,2019-05-01,2019-05-30,0,A
lcmap-profile,2019-04-01,2019-04-30,0,A
odc-lite-p2,2019-03-01,2019-03-30,10,A
odc-conference,2019-02-01,2019-02-28,40,A
Clojure,2019-01-01,2019-01-30,0,A
odc-lite,2019-01-01,2019-01-30,0,A
lcmap-deep,2018-12-01,2018-12-30,37,A
pyccd,2018-11-01,2018-11-30,53,A
folium-intro,2018-10-21,2018-10-30,95,A
lcmap-intro,2018-10-01,2018-10-30,33,A
Visualization,2018-10-01,2018-10-30,70,A
Clojure,2018-09-16,2018-09-30,30,A
espaDog,2018-09-05,2018-09-30,100,A
2019 Planning,2018-09-01,2018-09-10,100,A
